p_error, d_error, i_error, stamp, 
0.04461218943977274, -0.07171978024159631, 0.005131542749051264, 6509664000000, 
0.04116788286914563, -0.06571458078821157, 0.00465492038499989, 6509698000000, 
0.03837209222292293, -0.06117742369460603, 0.0028141157293884033, 6509732000000, 
0.03328677819457593, -0.05233772216074711, 0.003836109611745913, 6509800000000, 
0.03105343477824385, -0.04682353363240763, 0.003492218376655252, 6509834000000, 
0.027630134386835703, -0.03867640796113874, 0.0031269918102282863, 6509902000000, 
0.024355593037877377, -0.03283255755081604, 0.003764442019867381, 6509970000000, 
0.02314245674341686, -0.027945166362153707, 0.002554358261716418, 6510004000000, 
0.021778235869496676, -0.025268207533144117, 0.0015702624747512609, 6510038000000, 
0.01927333114014118, -0.025653659201940515, 0.0021825968076038607, 6510106000000, 
0.018254007772993575, -0.022272311096327, 0.002016389542609469, 6510140000000, 
0.01713672299940794, -0.020947138634639633, 0.0012390520700176345, 6510174000000, 
0.015225800257400834, -0.020321040633227334, 0.0017209620550132799, 6510242000000, 
0.014275146219372425, -0.018687405970901575, 0.001585680762190161, 6510276000000, 
0.012494965429097116, -0.018046514050647684, 0.001427861004799593, 6510344000000, 
0.011688524733882488, -0.016632657748551785, 0.0013075936369999692, 6510378000000, 
0.010060719845541133, -0.015885717052797108, 0.0011643031402897052, 6510446000000, 
0.009375515358877706, -0.014697126772883373, 0.0010582418379022451, 6510480000000, 
0.008177105595330136, -0.012592248710168738, 0.0009388535871914653, 6510548000000, 
0.007036320592227474, -0.011466641012991335, 0.001114698683438401, 6510616000000, 
0.006572513693911208, -0.010139209802623499, 0.0007407219559699399, 6510650000000, 
0.0056289905973319065, -0.009172239672607024, 0.000654086046038, 6510718000000, 
0.004921993512248868, -0.00809078520422716, 0.0007762652337583032, 6510786000000, 
0.0045525396982275534, -0.007087768201596408, 0.0005135198094654832, 6510820000000, 
0.004266819254147958, -0.006423277040205001, 0.00031147065586481927, 6510854000000, 
0.003994164205854078, -0.005474269533073286, 0.00029043985825320405, 6510888000000, 
0.0037108673166681427, -0.005450509190978577, 0.0002713619509378574, 6510922000000, 
0.0032322286360129127, -0.005123688524642653, 0.0003718668453901946, 6510990000000, 
0.003032436339041489, -0.004305016051951362, 0.00033916809791856653, 6511024000000, 
0.0028386286849153564, -0.0038588230499760415, 0.00020634132295931453, 6511058000000, 
0.0026487989652368427, -0.0037611507235749617, 0.00019311691708839027, 6511092000000, 
0.002342183916531182, -0.0033640906277582748, 0.00026620679326723495, 6511160000000, 
0.0021956470804749273, -0.0029396505922459314, 0.0002443454187162604, 6511194000000, 
0.0020670417892065807, -0.002697471836515699, 0.00014971044982082097, 6511228000000, 
0.0019450160732532584, -0.0024571667374673417, 0.00014070797870652138, 6511262000000, 
0.0018218446753754947, -0.002403893272853784, 0.00013223512419093425, 6511296000000, 
0.0016077457662997396, -0.0022570671805455023, 0.00018273662150756876, 6511364000000, 
0.0014198267185629998, -0.001970676258884779, 0.00021984024459746664, 6511432000000, 
0.0013325734857476679, -0.0017765956537617825, 0.00014824496300075386, 6511466000000, 
0.0012541339021616693, -0.001624439376483632, 9.081477308003964e-05, 6511500000000, 
0.0011748628555201535, -0.0015461826492893568, 8.526225885106847e-05, 6511534000000, 
0.001100745847011364, -0.001503804462257895, 8.000749903971225e-05, 6511568000000, 
0.0009683163933382755, -0.0013758013269150363, 0.00011029345325957296, 6511636000000, 
0.0009037998992060814, -0.001281678636948415, 0.00010107731274489451, 6511670000000, 
