p_error, d_error, i_error, stamp, 
-0.013143284230105579, 0.02099091655763004, -0.0009665139885955281, 6206965000000, 
-0.012087230619047817, 0.02083774958956919, -0.0008940457743303116, 6206999000000, 
-0.011037624854865147, 0.02064371936510227, -0.000822077833291087, 6207033000000, 
-0.008999365583790997, 0.020281719605095543, -0.0010922235159619347, 6207101000000, 
-0.00805952731272308, 0.01920556771181364, -0.0009552816035468937, 6207135000000, 
-0.007163802667832231, 0.017995714862340844, -0.000549047766125183, 6207169000000, 
-0.005498616317875182, 0.016944292351660527, -0.0007045461741466368, 6207237000000, 
-0.004789314162862768, 0.015116620882264106, -0.0005933589270513862, 6207271000000, 
-0.0033748030248073047, 0.013887820823923, -0.0004645329391885387, 6207339000000, 
-0.002128141282533358, 0.01304496509965397, -0.00046658238398255555, 6207407000000, 
-0.001551786708085201, 0.011761622015540492, -0.00023986085452447939, 6207441000000, 
-0.000711196156892635, 0.009771076961219998, -0.0001492982210153806, 6207509000000, 
-0.0003447894196890733, 0.007712764831371027, -8.866425767867492e-05, 6207543000000, 
1.7950300875479996e-05, 0.0071484946840011275, -2.352879958267451e-05, 6207577000000, 
0.000335331750707768, 0.006667854611733737, 1.9249965626796004e-07, 6207611000000, 
0.0005559057963959724, 0.005274073485495023, 2.0608257887528996e-05, 6207645000000, 
0.0007734093136584352, 0.0042948780681437955, 3.773199551060932e-05, 6207679000000, 
0.0010010385361658436, 0.00436404646833207, 5.2821349314325696e-05, 6207713000000, 
0.0012675735355953677, 0.003538203159040886, 0.00010342872710426799, 6207781000000, 
0.0013541687903193544, 0.0021555172003798902, 0.00012317454931073924, 6207815000000, 
0.0014237495303968117, 0.001531137203935726, 9.16978154097281e-05, 6207849000000, 
0.0014882498635171437, 0.0013145203254685222, 9.669981217595503e-05, 6207883000000, 
0.0015069575093116239, 0.0008157644991648247, 0.0001001630231397798, 6207917000000, 
0.0015028354367174757, 0.0001429958156895288, 0.00010195563701638152, 6207951000000, 
0.0014796320097960614, -0.00015415476524368, 0.00015264044849805548, 6208019000000, 
0.0014442100413913916, -0.00046101648887624376, 0.0001505070345887676, 6208053000000, 
0.0013568495878364395, -0.0007755117174720174, 0.00014554351572681234, 6208121000000, 
0.0013039571357695845, -0.0009467909690620693, 0.00013957057000991215, 6208155000000, 
0.001236280777048293, -0.0011820471645896705, 8.833398334816453e-05, 6208189000000, 
0.0011665199917458846, -0.0013474229806245085, 8.401984583677861e-05, 6208223000000, 
0.0010984656235277779, -0.0013511289560834824, 7.936203822596434e-05, 6208257000000, 
0.0010255473521241232, -0.0013820847021741318, 7.458541392768315e-05, 6208291000000, 
0.0008786229208896934, -0.001435102813930094, 0.00010208962048241422, 6208359000000, 
0.0008075518990906527, -0.0014169925236887798, 9.219855385155197e-05, 6208393000000, 
0.0007360554985376133, -0.0013977198269811773, 5.490388721974042e-05, 6208427000000, 
0.0005977388453610732, -0.0013789679131500927, 7.280577226163754e-05, 6208495000000, 
0.0005360376611163176, -0.0012829363807159383, 6.357428817051014e-05, 6208529000000, 
0.0004786069326947473, -0.0011679599281012346, 3.6547357954568467e-05, 6208563000000, 
0.00036304899789763034, -0.0011295068217659682, 4.684158211809564e-05, 6208631000000, 
0.0002159747991157257, -0.001047095101233922, 5.993240801679252e-05, 6208733000000, 
0.000176860820018776, -0.0008641050198456004, 3.426676930545665e-05, 6208767000000, 
6.713133069324861e-05, -0.0007420634856744329, 2.0851835058858017e-05, 6208869000000, 
1.8793794446692047e-05, -0.0005955418094619682, 1.4891203558993944e-05, 6208937000000, 
-9.513764872348673e-06, -0.0005144737984541078, 2.597986249098128e-06, 6208971000000, 
-3.283291890565643e-05, -0.0005061442485524359, -5.338654915097626e-07, 6209005000000, 
-5.2252312471745554e-05, -0.00041900536862153804, -2.1442439149943485e-06, 6209039000000, 
-6.921170811047261e-05, -0.00035665479612564884, -3.4973972950584912e-06, 6209073000000, 
-8.433685172914984e-05, -0.00031455430644514, -4.664819772391009e-06, 6209107000000, 
-9.23033789350658e-05, -0.0002263889296528743, -5.572643945559601e-06, 6209141000000, 
-9.966987665932514e-05, -0.000150323773825248, -6.263029099333591e-06, 6209175000000, 
