e, e_dot, e_int, stamp, 
-0.09017315765365201, 0.05971285014349648, -0.019424851668456426, 87380000000, 
-0.08394562619774026, 0.03055659492917709, -0.01781542590185904, 87448000000, 
-0.07619683701810553, 0.04658773545182159, -0.016687708057966523, 87550000000, 
-0.05836343921984366, 0.08527395659298868, -0.014567060162379297, 87652000000, 
-0.07665665111950998, -0.0015327136713481442, -0.014081128490497278, 87720000000, 
-0.07028809546392088, -0.03974885414692408, -0.01368721238688497, 87788000000, 
-0.061382403084895405, 0.05091416011538191, -0.013888476644555085, 87890000000, 
-0.05593940695671686, 0.04782896169068007, -0.012507327033702212, 87958000000, 
-0.05176220407251314, 0.03206733004127422, -0.01127226760760836, 88060000000, 
-0.04176137632893181, 0.04726010209261685, -0.009964199157210788, 88162000000, 
-0.04903732858453065, 0.009082918293274964, -0.00950406059906504, 88230000000, 
-0.0450876639256568, -0.011087625322416644, -0.009059091255941284, 88298000000, 
-0.039918946303392024, 0.030394607603795424, -0.008936262587571965, 88400000000, 
-0.03504204951452368, 0.03348538137044374, -0.008003243982904832, 88502000000, 
-0.03330542910226613, 0.02204505733708631, -0.007217761661345456, 88570000000, 
-0.027395371759206286, 0.02548892585105798, -0.006382856691733072, 88672000000, 
-0.029745489726967455, 0.011866464584328919, -0.006029752705895992, 88740000000, 
-0.025960772022432032, 0.004781999122580848, -0.005540108900573718, 88842000000, 
-0.022781286266363714, 0.023214011535345802, -0.00523250320105088, 88944000000, 
-0.020365052796749362, 0.018652397418942233, -0.00460714073903634, 89012000000, 
-0.018076666862638712, 0.015682064679083337, -0.0040815337283834525, 89114000000, 
-0.015639624030890177, 0.015751429219530617, -0.0036054229126852165, 89182000000, 
-0.014750172860299048, 0.011088313341132213, -0.0032310975835885287, 89284000000, 
-0.013402521353154513, 0.0074570089257855465, -0.002919487882956249, 89352000000, 
-0.011316799158494527, 0.011444579006015069, -0.0026312995581298723, 89454000000, 
-0.010216014033012874, 0.010621691067138797, -0.002329022302977461, 89522000000, 
-0.008886768838313805, 0.008100101067269072, -0.002027972135321414, 89624000000, 
-0.00788924856763184, 0.007755884884603446, -0.0017994687625972347, 89692000000, 
-0.2977393544958481, -0.9628419521917809, -0.02096769146011958, 89794000000, 
-0.30862646060077403, -1.0024573734438071, -0.04095033757761693, 89862000000, 
-0.32683117786084787, -0.09697274454999923, -0.06221313286383133, 89964000000, 
-0.3404115136365897, -0.1059501767860523, -0.06505794347321411, 90032000000, 
-0.36329446769030305, -0.12154429943151727, -0.0687024772791827, 90134000000, 
-0.3385018804208433, 0.006365444052488141, -0.06948052411651574, 90202000000, 
-0.15688238126868245, 0.6880402880720687, -0.05724524862532192, 90304000000, 
-0.10567180560663289, 0.7761002493807013, -0.040070404486410575, 90406000000, 
-0.045742538965011126, 0.3704661410122377, -0.020553115056021764, 90508000000, 
-0.002041526301557961, 0.3454342643502497, -0.010230391391546799, 90576000000, 
0.04721605476534296, 0.3098619791011803, -3.7867366748408256e-05, 90678000000, 
0.12173560771228042, 0.4125904467127946, 0.011127342411737694, 90746000000, 
0.11943584938761251, 0.2407326487408985, 0.019225834124349063, 90848000000, 
0.12301460608357215, 0.004263327904305743, 0.024279070878897673, 90916000000, 
0.11624306750097757, -0.010642606288783127, 0.02391290153147748, 91018000000, 
0.10875888600355177, -0.047519066933401265, 0.0232011039725401, 91086000000, 
0.0990289027892585, -0.05738054903906359, 0.02160205708625252, 91154000000, 
0.1214512828557105, 0.042307989507195755, 0.021949271443234716, 91256000000, 
0.1066088249964992, 0.025266407357469, 0.021805934042764544, 91358000000, 
0.09787040626490741, -0.07860292196934363, 0.02172870094114114, 91426000000, 
0.08795027362030583, -0.06219517125397788, 0.019495300325447495, 91528000000, 
0.07807389973620843, -0.06598835509566327, 0.017592971974761444, 91630000000, 
0.06537065741061951, -0.07526538736562106, 0.015426322051142251, 91698000000, 
0.08447072987659952, 0.021322767134636978, 0.015194352468228497, 91766000000, 
0.07825315369301271, 0.042941654274644, 0.01520630273201545, 91834000000, 
0.06986594858918052, -0.048682604291396675, 0.015505988810586183, 91936000000, 
0.06310759126730081, -0.05048520808570633, 0.014081779569966268, 92038000000, 
0.06066579752618839, -0.030667170209973765, 0.012909289158844648, 92106000000, 
0.04933446172337288, -0.0459104318130931, 0.011540523367790805, 92208000000, 
-0.2203408473188151, -0.9366888161500116, -0.007356039204616921, 92276000000, 
